
HostName                     Aliases                      AddressList                
10.10.57.120                 {}                           {10.10.57.120}             
listllb01c10.lfc.local       {}                           {10.10.57.121}             
LISTLCB01C09                 {}                           {10.10.57.122}             
10.10.57.123                 {}                           {10.10.57.123}             
10.10.57.124                 {}                           {10.10.57.124}             
hcuk13792.lfc.local          {}                           {10.10.57.125}             
10.10.57.126                 {}                           {10.10.57.126}             
10.10.57.127                 {}                           {10.10.57.127}             
10.10.57.128                 {}                           {10.10.57.128}             
listlmt01c03.lfc.local       {}                           {10.10.57.129}             
listllb01s08.lfc.local       {}                           {10.10.57.130}             
10.10.57.131                 {}                           {10.10.57.131}             
10.10.57.132                 {}                           {10.10.57.132}             
10.10.57.133                 {}                           {10.10.57.133}             
10.10.57.134                 {}                           {10.10.57.134}             
KM8A5EB1                     {}                           {10.10.57.135}             
listltr01c07.lfc.local       {}                           {10.10.57.136}             
10.10.57.137                 {}                           {10.10.57.137}             
10.10.57.138                 {}                           {10.10.57.138}             
10.10.57.139                 {}                           {10.10.57.139}             
10.10.57.140                 {}                           {10.10.57.140}             
10.10.57.141                 {}                           {10.10.57.141}             
10.10.57.142                 {}                           {10.10.57.142}             
10.10.57.143                 {}                           {10.10.57.143}             
10.10.57.144                 {}                           {10.10.57.144}             
10.10.57.145                 {}                           {10.10.57.145}             
10.10.57.146                 {}                           {10.10.57.146}             
10.10.57.147                 {}                           {10.10.57.147}             
10.10.57.148                 {}                           {10.10.57.148}             
10.10.57.149                 {}                           {10.10.57.149}             
10.10.57.150                 {}                           {10.10.57.150}             
10.10.57.151                 {}                           {10.10.57.151}             
10.10.57.152                 {}                           {10.10.57.152}             
10.10.57.153                 {}                           {10.10.57.153}             
10.10.57.154                 {}                           {10.10.57.154}             
10.10.57.155                 {}                           {10.10.57.155}             
10.10.57.156                 {}                           {10.10.57.156}             
10.10.57.157                 {}                           {10.10.57.157}             
10.10.57.158                 {}                           {10.10.57.158}             
10.10.57.159                 {}                           {10.10.57.159}             
10.10.57.160                 {}                           {10.10.57.160}             
10.10.57.161                 {}                           {10.10.57.161}             
10.10.57.162                 {}                           {10.10.57.162}             
10.10.57.163                 {}                           {10.10.57.163}             
10.10.57.164                 {}                           {10.10.57.164}             
10.10.57.165                 {}                           {10.10.57.165}             
10.10.57.166                 {}                           {10.10.57.166}             
10.10.57.167                 {}                           {10.10.57.167}             
10.10.57.168                 {}                           {10.10.57.168}             
10.10.57.169                 {}                           {10.10.57.169}             
